"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FProyectosPuntosVentaCopiar.tsx", "TypeScript JSX", 0, 221, 0, 0, 27, 37, 285
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FProyectosTratamAdic.tsx", "TypeScript JSX", 0, 261, 0, 0, 31, 48, 340
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FProyectosUsuarios.tsx", "TypeScript JSX", 0, 283, 0, 0, 31, 48, 362
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FProyectosUsuariosCopiar.tsx", "TypeScript JSX", 0, 221, 0, 0, 27, 38, 286
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FPuntosVenta.tsx", "TypeScript JSX", 0, 364, 0, 0, 8, 42, 414
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FReporteAtencion.tsx", "TypeScript JSX", 0, 0, 0, 0, 171, 27, 198
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FReservarArmazones.tsx", "TypeScript JSX", 0, 713, 0, 0, 77, 158, 948
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FUsuarios.tsx", "TypeScript JSX", 0, 781, 0, 0, 23, 76, 880
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FUsuariosOT.tsx", "TypeScript JSX", 0, 202, 0, 0, 6, 37, 245
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FVitrinas.tsx", "TypeScript JSX", 0, 244, 0, 0, 6, 36, 286
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FVitrinasArmazones.tsx", "TypeScript JSX", 0, 293, 0, 0, 9, 45, 347
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\forms\FVitrinasArmazonesCopiar.tsx", "TypeScript JSX", 0, 217, 0, 0, 27, 35, 279
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MAccesorios.tsx", "TypeScript JSX", 0, 174, 0, 0, 15, 30, 219
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MAccesoriosKardex.tsx", "TypeScript JSX", 0, 198, 0, 0, 7, 24, 229
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MAlmacenes.tsx", "TypeScript JSX", 0, 162, 0, 0, 7, 22, 191
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MArmazones.tsx", "TypeScript JSX", 0, 194, 0, 0, 8, 26, 228
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MArmazonesKardex.tsx", "TypeScript JSX", 0, 199, 0, 0, 7, 29, 235
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MCargos.tsx", "TypeScript JSX", 0, 131, 0, 0, 6, 28, 165
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MClientes.tsx", "TypeScript JSX", 0, 189, 0, 0, 7, 28, 224
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MCristales.tsx", "TypeScript JSX", 0, 244, 0, 0, 9, 35, 288
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MCristalesKardex.tsx", "TypeScript JSX", 0, 207, 0, 0, 7, 27, 241
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MEmpresas.tsx", "TypeScript JSX", 0, 143, 0, 0, 7, 22, 172
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MEstablecimientos.tsx", "TypeScript JSX", 0, 203, 0, 0, 13, 20, 236
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MFuncionalidades.tsx", "TypeScript JSX", 0, 130, 0, 0, 8, 19, 157
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMandantes.tsx", "TypeScript JSX", 0, 144, 0, 0, 7, 18, 169
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMarcas.tsx", "TypeScript JSX", 0, 158, 0, 0, 7, 19, 184
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMotivosOTAnulada.tsx", "TypeScript JSX", 0, 129, 0, 0, 6, 29, 164
